filename	path	status	matched_article_slug	width	height	reason	recommended_action
amazon-first-stop-for-backyard-robotics-image-001.jpg	public/images/insights/amazon-first-stop-for-backyard-robotics-image-001.jpg	keep	amazon-first-stop-for-backyard-robotics	1920	1080	unused body image matching an existing article slug; likely extra source image or backup	retain in public/images/insights until article-level review
american-factory-and-manufacturing-transfer-image-001.jpg	public/images/insights/american-factory-and-manufacturing-transfer-image-001.jpg	keep	american-factory-and-manufacturing-transfer	645	522	unused body image matching an existing article slug; likely extra source image or backup	retain in public/images/insights until article-level review
anker-cleaning-appliance-strategy-analysis-image-01.jpg	public/images/insights/anker-cleaning-appliance-strategy-analysis-image-01.jpg	keep	anker-cleaning-appliance-strategy-analysis	1600	900	unused body image matching an existing article slug; likely extra source image or backup	retain in public/images/insights until article-level review
anker-floorcare-strategy-problem-cover.jpg	public/images/insights/anker-floorcare-strategy-problem-cover.jpg	needs-review		1600	900	no confident article match from filename; manual review required	manual review required
anker-innovation-lacks-methodology-image-001.jpg	public/images/insights/anker-innovation-lacks-methodology-image-001.jpg	keep	anker-innovation-lacks-methodology	1600	900	unused body image matching an existing article slug; likely extra source image or backup	retain in public/images/insights until article-level review
anker-needs-a-hard-battle-image-001.jpg	public/images/insights/anker-needs-a-hard-battle-image-001.jpg	keep	anker-needs-a-hard-battle	1600	900	unused body image matching an existing article slug; likely extra source image or backup	retain in public/images/insights until article-level review
anker-shallow-sea-strategy-and-talent-platform-image-01.jpg	public/images/insights/anker-shallow-sea-strategy-and-talent-platform-image-01.jpg	keep	anker-shallow-sea-strategy-and-talent-platform	1600	900	unused body image matching an existing article slug; likely extra source image or backup	retain in public/images/insights until article-level review
anker-shallow-sea-strategy-and-talent-platform-image-02.jpg	public/images/insights/anker-shallow-sea-strategy-and-talent-platform-image-02.jpg	keep	anker-shallow-sea-strategy-and-talent-platform	1600	900	unused body image matching an existing article slug; likely extra source image or backup	retain in public/images/insights until article-level review
awe-china-cleaning-appliance-signals-cover.jpg	public/images/insights/awe-china-cleaning-appliance-signals-cover.jpg	migrate-candidate	cleaning-appliance-companies-at-awe	1672	941	filename likely belongs to article slug cleaning-appliance-companies-at-awe; review whether to reconnect or rename	review against matched article and decide whether to reconnect, rename, or keep as backup
awe-china-cleaning-appliance-signals-image-001.jpg	public/images/insights/awe-china-cleaning-appliance-signals-image-001.jpg	migrate-candidate	cleaning-appliance-companies-at-awe	1600	900	filename likely belongs to article slug cleaning-appliance-companies-at-awe; review whether to reconnect or rename	review against matched article and decide whether to reconnect, rename, or keep as backup
